timepoint_id,timestamp,timeseries
353148,2050041512,2050_2050-year-round
353152,2050041516,2050_2050-year-round
353156,2050041520,2050_2050-year-round
353160,2050041600,2050_2050-year-round
353164,2050041604,2050_2050-year-round
353168,2050041608,2050_2050-year-round
353172,2050041612,2050_2050-year-round
353176,2050041616,2050_2050-year-round
353180,2050041620,2050_2050-year-round
353184,2050041700,2050_2050-year-round
353188,2050041704,2050_2050-year-round
353192,2050041708,2050_2050-year-round
353196,2050041712,2050_2050-year-round
353200,2050041716,2050_2050-year-round
353204,2050041720,2050_2050-year-round
353208,2050041800,2050_2050-year-round
353212,2050041804,2050_2050-year-round
353216,2050041808,2050_2050-year-round
353220,2050041812,2050_2050-year-round
353224,2050041816,2050_2050-year-round
353228,2050041820,2050_2050-year-round
353232,2050041900,2050_2050-year-round
353236,2050041904,2050_2050-year-round
353240,2050041908,2050_2050-year-round
353244,2050041912,2050_2050-year-round
353248,2050041916,2050_2050-year-round
353252,2050041920,2050_2050-year-round
353256,2050042000,2050_2050-year-round
353260,2050042004,2050_2050-year-round
353264,2050042008,2050_2050-year-round
353268,2050042012,2050_2050-year-round
353272,2050042016,2050_2050-year-round
353276,2050042020,2050_2050-year-round
353280,2050042100,2050_2050-year-round
353284,2050042104,2050_2050-year-round
353288,2050042108,2050_2050-year-round
353292,2050042112,2050_2050-year-round
353296,2050042116,2050_2050-year-round
353300,2050042120,2050_2050-year-round
353304,2050042200,2050_2050-year-round
353308,2050042204,2050_2050-year-round
353312,2050042208,2050_2050-year-round
353316,2050042212,2050_2050-year-round
353320,2050042216,2050_2050-year-round
353324,2050042220,2050_2050-year-round
353328,2050042300,2050_2050-year-round
353332,2050042304,2050_2050-year-round
353336,2050042308,2050_2050-year-round
353340,2050042312,2050_2050-year-round
353344,2050042316,2050_2050-year-round
353348,2050042320,2050_2050-year-round
353352,2050042400,2050_2050-year-round
353356,2050042404,2050_2050-year-round
353360,2050042408,2050_2050-year-round
353364,2050042412,2050_2050-year-round
353368,2050042416,2050_2050-year-round
353372,2050042420,2050_2050-year-round
353376,2050042500,2050_2050-year-round
353380,2050042504,2050_2050-year-round
353384,2050042508,2050_2050-year-round
353388,2050042512,2050_2050-year-round
353392,2050042516,2050_2050-year-round
353396,2050042520,2050_2050-year-round
353400,2050042600,2050_2050-year-round
353404,2050042604,2050_2050-year-round
353408,2050042608,2050_2050-year-round
353412,2050042612,2050_2050-year-round
353416,2050042616,2050_2050-year-round
353420,2050042620,2050_2050-year-round
353424,2050042700,2050_2050-year-round
353428,2050042704,2050_2050-year-round
353432,2050042708,2050_2050-year-round
353436,2050042712,2050_2050-year-round
353440,2050042716,2050_2050-year-round
353444,2050042720,2050_2050-year-round
353448,2050042800,2050_2050-year-round
353452,2050042804,2050_2050-year-round
353456,2050042808,2050_2050-year-round
353460,2050042812,2050_2050-year-round
353464,2050042816,2050_2050-year-round
353468,2050042820,2050_2050-year-round
353472,2050042900,2050_2050-year-round
353476,2050042904,2050_2050-year-round
353480,2050042908,2050_2050-year-round
353484,2050042912,2050_2050-year-round
353488,2050042916,2050_2050-year-round
353492,2050042920,2050_2050-year-round
353496,2050043000,2050_2050-year-round
353500,2050043004,2050_2050-year-round
353504,2050043008,2050_2050-year-round
353508,2050043012,2050_2050-year-round
353512,2050043016,2050_2050-year-round
353516,2050043020,2050_2050-year-round
353520,2050050100,2050_2050-year-round
353524,2050050104,2050_2050-year-round
353528,2050050108,2050_2050-year-round
353532,2050050112,2050_2050-year-round
353536,2050050116,2050_2050-year-round
353540,2050050120,2050_2050-year-round
353544,2050050200,2050_2050-year-round
353548,2050050204,2050_2050-year-round
353552,2050050208,2050_2050-year-round
353556,2050050212,2050_2050-year-round
353560,2050050216,2050_2050-year-round
353564,2050050220,2050_2050-year-round
353568,2050050300,2050_2050-year-round
353572,2050050304,2050_2050-year-round
353576,2050050308,2050_2050-year-round
353580,2050050312,2050_2050-year-round
353584,2050050316,2050_2050-year-round
353588,2050050320,2050_2050-year-round
353592,2050050400,2050_2050-year-round
353596,2050050404,2050_2050-year-round
353600,2050050408,2050_2050-year-round
353604,2050050412,2050_2050-year-round
353608,2050050416,2050_2050-year-round
