GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
154473,1924,0.0,0.0,.
154474,1956,0.0,0.0,.
154475,1954,0.0,0.0,.
154475,1957,0.0,0.0,.
154475,1967,0.0,0.0,.
154476,1954,0.0,0.0,.
154476,1957,0.0,0.0,.
154476,1967,0.0,0.0,.
154477,1954,0.0,0.0,.
154477,1957,0.0,0.0,.
154477,1967,0.0,0.0,.
154478,1916,0.0,0.0,.
154478,1917,0.0,0.0,.
154479,2005,0.0,0.0,.
154479,2006,0.0,0.0,.
154480,1899,0.0,0.0,.
154481,1999,0.0,0.0,.
154482,1909,0.0,0.0,.
154483,1984,0.0,0.0,.
154484,1930,0.0,0.0,.
154484,1983,0.0,0.0,.
154485,1977,0.0,0.0,.
154486,2004,0.0,0.0,.
154487,1953,0.0,0.0,.
154488,1959,0.0,0.0,.
154488,1964,0.0,0.0,.
154489,1960,0.0,0.0,.
154490,1969,0.0,0.0,.
154491,1967,0.0,0.0,.
154491,1987,0.0,0.0,.
154492,1953,0.0,0.0,.
154493,1941,0.0,0.0,.
154493,1966,0.0,0.0,.
154494,1941,0.0,0.0,.
154494,1950,0.0,0.0,.
154495,1957,0.0,0.0,.
154496,2016,0.0,0.0,0.0
154497,1993,0.0,0.0,.
154497,2012,0.0,0.0,.
154498,1968,0.0,0.0,.
154499,1925,0.0,0.0,.
154500,1972,0.0,0.0,.
154501,1973,0.0,0.0,.
154501,1974,0.0,0.0,.
154501,1976,0.0,0.0,.
154501,1977,0.0,0.0,.
154501,1978,0.0,0.0,.
154502,1952,0.0,0.0,.
154503,1908,0.0,0.0,.
154503,1909,0.0,0.0,.
154504,1971,0.0,0.0,.
154505,1921,0.0,0.0,.
154506,1927,0.0,0.0,.
154507,1995,0.0,0.0,.
154508,2002,0.0,0.0,.
154509,2005,0.0,0.0,.
154510,2013,0.0,0.0,.
154511,1962,0.0,0.0,.
154511,1963,0.0,0.0,.
154512,1952,0.0,0.0,.
154513,1958,0.0,0.0,.
154514,1922,0.0,0.0,.
154515,2015,0.0,0.0,.
154516,2015,0.0,0.0,.
154517,1958,0.0,0.0,.
154517,1959,0.0,0.0,.
154518,1958,0.0,0.0,.
154518,1959,0.0,0.0,.
154519,1953,0.0,0.0,.
154520,2003,0.0,0.0,.
154521,2001,0.0,0.0,.
154522,1967,0.0,0.0,.
154523,1967,0.0,0.0,.
154524,1965,0.0,0.0,.
154525,1965,0.0,0.0,.
154526,1957,0.0,0.0,.
154527,1957,0.0,0.0,.
154528,1958,0.0,0.0,.
154528,2012,0.0,0.0,.
154529,1963,0.0,0.0,.
154530,1963,0.0,0.0,.
154531,1963,0.0,0.0,.
154532,2016,0.0,0.0,.
154533,1976,0.0,0.0,.
154533,2004,0.0,0.0,.
154534,1966,0.0,0.0,.
154535,1966,0.0,0.0,.
154536,1966,0.0,0.0,.
154537,1966,0.0,0.0,.
154538,1982,0.0,0.0,.
154539,1963,0.0,0.0,.
154539,1968,0.0,0.0,.
154540,1961,0.0,0.0,.
154540,1962,0.0,0.0,.
154541,1971,0.0,0.0,.
154542,1965,0.0,0.0,.
154543,1968,0.0,0.0,.
154543,1983,0.0,0.0,.
154544,1972,0.0,0.0,.
154544,1976,0.0,0.0,.
154544,1992,0.0,0.0,.
154544,1994,0.0,0.0,.
154545,1968,0.0,0.0,.
154546,1968,0.0,0.0,.
154546,1969,0.0,0.0,.
154547,1971,0.0,0.0,.
154547,1989,0.0,0.0,.
154548,1924,0.0,0.0,.
154549,1955,0.0,0.0,.
154550,1963,0.0,0.0,.
154551,1949,0.0,0.0,.
154551,1950,0.0,0.0,.
154552,1955,0.0,0.0,.
154553,1944,0.0,0.0,.
154553,1948,0.0,0.0,.
154553,1949,0.0,0.0,.
154554,1967,0.0,0.0,.
154554,1968,0.0,0.0,.
