timepoint,timestamp,hours_per_year,timeseries,period
352592,2050032308,4.0137,2050_2050-year-round,2050
352596,2050032312,4.0137,2050_2050-year-round,2050
352600,2050032316,4.0137,2050_2050-year-round,2050
352604,2050032320,4.0137,2050_2050-year-round,2050
352608,2050032400,4.0137,2050_2050-year-round,2050
352612,2050032404,4.0137,2050_2050-year-round,2050
352616,2050032408,4.0137,2050_2050-year-round,2050
352620,2050032412,4.0137,2050_2050-year-round,2050
352624,2050032416,4.0137,2050_2050-year-round,2050
352628,2050032420,4.0137,2050_2050-year-round,2050
352632,2050032500,4.0137,2050_2050-year-round,2050
352636,2050032504,4.0137,2050_2050-year-round,2050
352640,2050032508,4.0137,2050_2050-year-round,2050
352644,2050032512,4.0137,2050_2050-year-round,2050
352648,2050032516,4.0137,2050_2050-year-round,2050
352652,2050032520,4.0137,2050_2050-year-round,2050
352656,2050032600,4.0137,2050_2050-year-round,2050
352660,2050032604,4.0137,2050_2050-year-round,2050
352664,2050032608,4.0137,2050_2050-year-round,2050
352668,2050032612,4.0137,2050_2050-year-round,2050
352672,2050032616,4.0137,2050_2050-year-round,2050
352676,2050032620,4.0137,2050_2050-year-round,2050
352680,2050032700,4.0137,2050_2050-year-round,2050
352684,2050032704,4.0137,2050_2050-year-round,2050
352688,2050032708,4.0137,2050_2050-year-round,2050
352692,2050032712,4.0137,2050_2050-year-round,2050
352696,2050032716,4.0137,2050_2050-year-round,2050
352700,2050032720,4.0137,2050_2050-year-round,2050
352704,2050032800,4.0137,2050_2050-year-round,2050
352708,2050032804,4.0137,2050_2050-year-round,2050
352712,2050032808,4.0137,2050_2050-year-round,2050
352716,2050032812,4.0137,2050_2050-year-round,2050
352720,2050032816,4.0137,2050_2050-year-round,2050
352724,2050032820,4.0137,2050_2050-year-round,2050
352728,2050032900,4.0137,2050_2050-year-round,2050
352732,2050032904,4.0137,2050_2050-year-round,2050
352736,2050032908,4.0137,2050_2050-year-round,2050
352740,2050032912,4.0137,2050_2050-year-round,2050
352744,2050032916,4.0137,2050_2050-year-round,2050
352748,2050032920,4.0137,2050_2050-year-round,2050
352752,2050033000,4.0137,2050_2050-year-round,2050
352756,2050033004,4.0137,2050_2050-year-round,2050
352760,2050033008,4.0137,2050_2050-year-round,2050
352764,2050033012,4.0137,2050_2050-year-round,2050
352768,2050033016,4.0137,2050_2050-year-round,2050
352772,2050033020,4.0137,2050_2050-year-round,2050
352776,2050033100,4.0137,2050_2050-year-round,2050
352780,2050033104,4.0137,2050_2050-year-round,2050
352784,2050033108,4.0137,2050_2050-year-round,2050
352788,2050033112,4.0137,2050_2050-year-round,2050
352792,2050033116,4.0137,2050_2050-year-round,2050
