gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableOMCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,DispatchEmissions_tNOx_per_typical_yr,DispatchEmissions_tSO2_per_typical_yr,DispatchEmissions_tCH4_per_typical_yr
Central_PV,CA_SDGE,Solar,2050,1814.4,0,0,0,0,0
Central_PV,CA_SMUD,Solar,2050,3.0825e-05,0,0,0,0,0
Central_PV,CO_DEN,Solar,2050,0.0001006,0,0,0,0,0
Central_PV,CO_E,Solar,2050,1.7021e-05,0,0,0,0,0
Central_PV,CO_NW,Solar,2050,5734.6,0,0,0,0,0
Central_PV,CO_SW,Solar,2050,5017.5,0,0,0,0,0
Central_PV,ID_E,Solar,2050,12895,0,0,0,0,0
Central_PV,ID_S_OR_E,Solar,2050,23672,0,0,0,0,0
Central_PV,MEX_BAJA,Solar,2050,64301,0,0,0,0,0
Central_PV,MT_NE,Solar,2050,5.3096e-05,0,0,0,0,0
Central_PV,MT_NW,Solar,2050,2163.1,0,0,0,0,0
Central_PV,MT_SE,Solar,2050,1.1075e-05,0,0,0,0,0
Central_PV,MT_SW,Solar,2050,538.5,0,0,0,0,0
Central_PV,NM_N,Solar,2050,0.0011182,0,0,0,0,0
Central_PV,NM_S_TX_EPE,Solar,2050,18749,0,0,0,0,0
Central_PV,NV_N,Solar,2050,54078,0,0,0,0,0
Central_PV,NV_S,Solar,2050,74696,0,0,0,0,0
Central_PV,OR_E,Solar,2050,11490,0,0,0,0,0
Central_PV,OR_PDX,Solar,2050,1.3724e-05,0,0,0,0,0
Central_PV,OR_W,Solar,2050,52109,0,0,0,0,0
Central_PV,OR_WA_BPA,Solar,2050,6053.7,0,0,0,0,0
Central_PV,UT_N,Solar,2050,11355,0,0,0,0,0
Central_PV,UT_S,Solar,2050,40892,0,0,0,0,0
Central_PV,WA_ID_AVA,Solar,2050,173.03,0,0,0,0,0
Central_PV,WA_N_CEN,Solar,2050,6.0779e-05,0,0,0,0,0
Central_PV,WA_W,Solar,2050,0,0,0,0,0,0
Central_PV,WY_NE,Solar,2050,3478.8,0,0,0,0,0
Central_PV,WY_NW,Solar,2050,3744.7,0,0,0,0,0
Central_PV,WY_SE,Solar,2050,4793.2,0,0,0,0,0
Central_PV,WY_SW,Solar,2050,9.0483e-05,0,0,0,0,0
Coal_IGCC,AZ_APS_E,Coal,2050,0,0,0,0,0,0
Coal_IGCC,AZ_APS_N,Coal,2050,0,0,0,0,0,0
Coal_IGCC,AZ_APS_SW,Coal,2050,0,0,0,0,0,0
Coal_IGCC,AZ_NM_N,Coal,2050,0,0,0,0,0,0
