GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenCapitalCosts,GenFixedOMCosts
154637,2050,Hydro_NonPumped,ID_S_OR_E,Water,2.5,0,0
154638,2050,Hydro_NonPumped,ID_S_OR_E,Water,13.5,0,0
154639,2050,Hydro_NonPumped,ID_S_OR_E,Water,60,0,0
154641,2050,Hydro_NonPumped,ID_S_OR_E,Water,11.5,0,0
154642,2050,Hydro_NonPumped,ID_S_OR_E,Water,25,0,0
154643,2050,Hydro_NonPumped,ID_S_OR_E,Water,6.8,0,0
154644,2050,Hydro_NonPumped,ID_S_OR_E,Water,52.7,0,0
154645,2050,Hydro_NonPumped,ID_S_OR_E,Water,18,0,0
154646,2050,Hydro_NonPumped,ID_S_OR_E,Water,8.3,0,0
154647,2050,Hydro_NonPumped,ID_E,Water,6.7,0,0
154648,2050,Hydro_NonPumped,ID_E,Water,33,0,0
154649,2050,Hydro_NonPumped,ID_E,Water,30,0,0
154650,2050,Hydro_NonPumped,ID_E,Water,14.5,0,0
154651,2050,Hydro_NonPumped,WA_ID_AVA,Water,265.2,0,0
154652,2050,Hydro_NonPumped,WA_ID_AVA,Water,14.5,0,0
154653,2050,Hydro_NonPumped,CA_PGE_N,Water,1,0,0
154654,2050,Hydro_NonPumped,WA_ID_AVA,Water,465,0,0
154655,2050,Hydro_NonPumped,ID_E,Water,8,0,0
154656,2050,Hydro_NonPumped,ID_E,Water,3,0,0
154657,2050,Hydro_NonPumped,ID_E,Water,8,0,0
