STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,ChargeStorage
5011_1,353100,472.27
5011_1,353104,488.72
5011_1,353108,492.18
5011_1,353112,543.04
5011_1,353116,319.24
5011_1,353120,352.27
5011_1,353124,378.9
5011_1,353128,450.45
5011_1,353132,439.4
5011_1,353136,420.05
5011_1,353140,351.54
5011_1,353144,365.5
5011_1,353148,342.54
5011_1,353152,540.44
5011_1,353156,496.85
5011_1,353160,495.01
5011_1,353164,467.34
5011_1,353168,474.35
5011_1,353172,474.67
5011_1,353176,490.45
5011_1,353180,488.08
5011_1,353184,495.75
5011_1,353188,441.44
5011_1,353192,462.82
5011_1,353196,462.47
5011_1,353200,488.02
5011_1,353204,483.47
5011_1,353208,492.39
5011_1,353212,450.48
5011_1,353216,466.48
5011_1,353220,477.46
5011_1,353224,487.89
5011_1,353228,483.4
5011_1,353232,491.56
5011_1,353236,461.41
5011_1,353240,469.51
5011_1,353244,473.01
5011_1,353248,483.72
5011_1,353252,479.37
5011_1,353256,492.07
5011_1,353260,439.34
5011_1,353264,457.2
5011_1,353268,466.05
5011_1,353272,488.09
5011_1,353276,490.12
5011_1,353280,520.51
5011_1,353284,351.24
5011_1,353288,388.85
5011_1,353292,394.87
5011_1,353296,461.85
5011_1,353300,470.76
5011_1,353304,433.33
5011_1,353308,380.98
5011_1,353312,389.4
5011_1,353316,381.49
5011_1,353320,520.13
5011_1,353324,485.91
5011_1,353328,485.96
5011_1,353332,444.96
5011_1,353336,450.93
5011_1,353340,459.67
5011_1,353344,483.19
5011_1,353348,472.47
5011_1,353352,476.1
5011_1,353356,450.72
5011_1,353360,465.98
5011_1,353364,466.91
5011_1,353368,469.34
5011_1,353372,462.29
5011_1,353376,481.31
5011_1,353380,455.16
5011_1,353384,461.44
5011_1,353388,466.68
5011_1,353392,470.27
5011_1,353396,462.2
5011_1,353400,487.86
5011_1,353404,416.92
5011_1,353408,446.97
5011_1,353412,442.99
5011_1,353416,485.19
5011_1,353420,474.69
5011_1,353424,488.09
5011_1,353428,403.1
5011_1,353432,433.79
5011_1,353436,441.1
5011_1,353440,480.74
5011_1,353444,459.93
5011_1,353448,460.01
5011_1,353452,438.16
5011_1,353456,449.34
5011_1,353460,444.77
5011_1,353464,480.41
5011_1,353468,484.52
5011_1,353472,495.99
5011_1,353476,462.68
5011_1,353480,459.46
5011_1,353484,472.7
5011_1,353488,479.53
5011_1,353492,476.25
5011_1,353496,486.66
5011_1,353500,438.15
5011_1,353504,450.95
5011_1,353508,464.24
5011_1,353512,479.18
5011_1,353516,469.55
5011_1,353520,478.17
5011_1,353524,450.75
5011_1,353528,471.86
5011_1,353532,475.43
5011_1,353536,470.67
5011_1,353540,470.63
5011_1,353544,494.12
5011_1,353548,432.06
5011_1,353552,457.85
5011_1,353556,474.32
5011_1,353560,477.89
5011_1,353564,473.09
5011_1,353568,475.09
